# NAS100 TRD export, riskPct=2, baseline config (in_20=false), 13.07.2026
# TRD|dir|entryMs|exitMs|entry|sl|tp|profit
# window 2021-10-01 (Итог -156.76 / 14)
TRD|S|1770820500000|1770822600000|25266.55|25380.15|25063.3|364.86
TRD|L|1771254000000|1771255800000|24719.95|24625.45|24854.4|-210.32
TRD|L|1771340400000|1771342200000|24487.25|24397.85|24775.5|-208.15
TRD|L|1771512000000|1771525200000|24780.75|24695.45|24985.7|-207.36
# window live 2026-07-13 (12 сделок, +1081.29 было по 11 утром + сегодняшний лось -212.99)
TRD|S|1775484000000|1775574000000|24120.45|24278.75|23815.8|365.04
TRD|S|1775834700000|1776031200000|25182.15|25226.85|25028.1|706.56
TRD|S|1776089400000|1776091800000|25119.45|25169.55|24749.55|-224.84
TRD|S|1776353100000|1776353700000|26297.25|26341.25|26181.4|-220.5
TRD|S|1776441300000|1776443700000|26644.15|26717.85|26288.1|-209.16
TRD|S|1776959400000|1776966000000|26916.35|27007.55|26700|474.76
TRD|L|1778853000000|1779061200000|29164.45|28986.95|29629.6|-214.32
TRD|L|1780582200000|1780595400000|30223.15|30096.35|30490.8|427.36
TRD|S|1781187300000|1781198700000|28728.35|29015.85|28233.2|-202.02
TRD|S|1782138300000|1782185400000|30437.15|30648.05|30028.8|407.9
TRD|S|1783085700000|1783288800000|29681.05|29723.35|29291.3|-229.49
TRD|L|1783950900000|1783952100000|29425.25|29314.25|29854.1|-212.99
# patch 2022-06-01 (дыра апр-2022): новые сделки
TRD|L|1649343000000|1649344200000|14469.9|14422.8|14596.6|-192.4
TRD|L|1649856900000|1649860200000|13988.6|13916.8|14093.9|272.48
# patch 2023-04-01 (дыра фев-2023): новые сделки
TRD|S|1675790400000|1675791600000|12499.75|12551.25|12429.88|-199.5
TRD|S|1675953600000|1675964100000|12595.5|12683.25|12496.88|206.22
TRD|L|1676646000000|1676650800000|12317.25|12259.75|12426.88|-199.24
# patch 2024-12-01 (дыра окт-2024): новые сделки
TRD|S|1728657900000|1728673500000|20239.2|20299.45|20158.7|-202.29
# patch 2025-10-01 (дыра авг-2025): новые сделки
TRD|S|1754576400000|1754589900000|23454.15|23560.55|23275.8|355.8
TRD|S|1755093300000|1755097500000|23918.05|23969.05|23821.8|411.51
TRD|S|1755184800000|1755265500000|23814.65|23910.05|23698.6|265.88
# patch 2026-05-01 (дыра мар-2026): новые сделки
TRD|L|1772551800000|1772637000000|24369.45|24316.65|24971.4|2165.04
TRD|L|1774532400000|1774536900000|23946.55|23857.05|24211|-235.3
# КОНЕЦ NAS100
